,ReadingDate,Year,Month,Day,Hours,Season,Latitude,Longitude,Station Name,Air Quality Health Index,Ozone,Relative Humidity,Outdoor Temperature,Wind Direction,Wind Speed
43361,2023-06-05 16:00:00,2023,6,5,16,Summer,51.08272,-114.138994,Calgary Varsity,4.0,0.071,37.2,22.1,79.0,6.0
43360,2023-06-05 16:00:00,2023,6,5,16,Summer,51.030789,-114.008836,Calgary Central Inglewood,4.0,0.062,37.8,21.9,98.0,6.1
43357,2023-06-05 15:00:00,2023,6,5,15,Summer,51.030789,-114.008836,Calgary Central Inglewood,4.0,0.06,38.6,21.4,57.0,5.2
43358,2023-06-05 15:00:00,2023,6,5,15,Summer,51.08272,-114.138994,Calgary Varsity,4.0,0.062,39.6,21.0,88.0,4.9
43355,2023-06-05 14:00:00,2023,6,5,14,Summer,51.08272,-114.138994,Calgary Varsity,4.0,0.058,43.5,19.4,30.0,5.7
43354,2023-06-05 14:00:00,2023,6,5,14,Summer,51.030789,-114.008836,Calgary Central Inglewood,4.0,0.055,41.4,20.0,62.0,6.1
43352,2023-06-05 13:00:00,2023,6,5,13,Summer,51.08272,-114.138994,Calgary Varsity,3.0,0.056,45.7,18.5,26.0,7.7
43351,2023-06-05 13:00:00,2023,6,5,13,Summer,51.030789,-114.008836,Calgary Central Inglewood,3.0,0.05,44.0,18.7,26.0,8.6
43349,2023-06-05 12:00:00,2023,6,5,12,Summer,51.08272,-114.138994,Calgary Varsity,3.0,0.052,46.1,17.7,357.0,8.7
43348,2023-06-05 12:00:00,2023,6,5,12,Summer,51.030789,-114.008836,Calgary Central Inglewood,3.0,0.046,46.6,17.2,15.0,11.0
43345,2023-06-05 11:00:00,2023,6,5,11,Summer,51.030789,-114.008836,Calgary Central Inglewood,3.0,0.043,48.6,16.2,1.0,14.2
43346,2023-06-05 11:00:00,2023,6,5,11,Summer,51.08272,-114.138994,Calgary Varsity,3.0,0.049,48.8,16.4,9.0,10.5
43343,2023-06-05 10:00:00,2023,6,5,10,Summer,51.08272,-114.138994,Calgary Varsity,3.0,0.045,50.9,15.0,342.0,13.7
43342,2023-06-05 10:00:00,2023,6,5,10,Summer,51.030789,-114.008836,Calgary Central Inglewood,3.0,0.039,49.9,15.1,350.0,18.4
43340,2023-06-05 09:00:00,2023,6,5,9,Summer,51.08272,-114.138994,Calgary Varsity,3.0,0.043,53.4,13.8,340.0,15.0
43339,2023-06-05 09:00:00,2023,6,5,9,Summer,51.030789,-114.008836,Calgary Central Inglewood,3.0,0.037,52.7,14.0,345.0,22.8
43336,2023-06-05 08:00:00,2023,6,5,8,Summer,51.030789,-114.008836,Calgary Central Inglewood,3.0,0.036,56.1,13.5,345.0,27.1
