,Air Quality Health Index,Carbon Monoxide,Fine Particulate Matter,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Temperature,Ozone,Relative Humidity,Total Oxides of Nitrogen,Wind Direction,Wind Speed
43360,4.0,0.2,12.2,2.1,0.0,0.004,0.0,21.9,0.062,37.8,0.004,98.0,6.1
43357,4.0,0.2,12.9,2.1,0.0,0.004,0.0,21.4,0.06,38.6,0.004,57.0,5.2
43354,4.0,0.21,13.1,2.1,0.0,0.005,0.0,20.0,0.055,41.4,0.005,62.0,6.1
43351,3.0,0.2,11.4,2.1,0.0,0.005,0.0,18.7,0.05,44.0,0.005,26.0,8.6
43348,3.0,0.19,11.0,2.1,0.0,0.005,0.0,17.2,0.046,46.6,0.005,15.0,11.0
43345,3.0,0.19,10.8,2.1,0.0,0.004,0.0,16.2,0.043,48.6,0.004,1.0,14.2
43342,3.0,0.18,19.0,2.1,0.001,0.004,0.0,15.1,0.039,49.9,0.005,350.0,18.4
43339,3.0,0.18,7.0,2.1,0.0,0.004,0.0,14.0,0.037,52.7,0.005,345.0,22.8
43336,3.0,0.18,8.1,2.1,0.0,0.005,0.0,13.5,0.036,56.1,0.005,345.0,27.1
43333,3.0,0.19,9.1,2.1,0.0,0.004,0.0,13.7,0.036,59.8,0.004,345.0,22.4
43330,3.0,0.18,10.2,2.1,0.0,0.003,0.0,14.0,0.038,65.9,0.003,344.0,25.0
43324,3.0,0.24,12.9,2.2,0.0,0.013,0.0,15.2,0.019,79.1,0.013,358.0,13.6
43321,3.0,0.21,10.3,2.2,0.0,0.012,0.0,14.8,0.019,71.7,0.011,341.0,0.2
43318,3.0,0.22,12.1,2.3,0.0,0.014,0.0,17.2,0.025,54.9,0.014,107.0,5.0
43315,3.0,0.22,9.3,2.3,0.0,0.012,0.0,18.6,0.034,51.1,0.011,118.0,2.9
43312,4.0,0.22,8.9,2.1,0.0,0.009,0.0,20.5,0.044,44.6,0.009,130.0,5.5
43309,4.0,0.21,8.6,2.1,0.0,0.008,0.0,22.4,0.051,39.2,0.007,140.0,8.7
43306,4.0,0.21,10.0,2.1,0.0,0.004,0.0,23.4,0.058,37.0,0.004,146.0,12.0
43303,4.0,0.21,16.2,2.1,0.0,0.005,0.0,25.8,0.059,28.4,0.004,153.0,14.5
43300,4.0,0.2,7.3,2.1,0.0,0.003,0.0,27.4,0.062,22.3,0.002,165.0,11.0
43297,4.0,0.21,7.3,2.1,0.0,0.002,0.0,27.5,0.063,22.2,0.002,163.0,8.6
43294,4.0,0.2,15.9,2.1,0.0,0.002,0.0,28.1,0.062,20.6,0.002,155.0,5.7
43291,4.0,0.2,6.3,2.1,0.0,0.002,0.0,27.8,0.061,20.4,0.001,118.0,5.1
43288,4.0,0.2,6.2,2.1,0.0,0.002,0.0,28.0,0.062,19.2,0.001,185.0,4.5
43285,4.0,0.2,7.1,2.1,0.0,0.002,0.0,27.3,0.062,21.9,0.002,203.0,3.6
43282,4.0,0.21,7.0,2.1,0.0,0.002,0.0,26.0,0.063,24.5,0.002,166.0,4.1
43279,4.0,0.21,7.8,2.1,0.0,0.003,0.0,24.6,0.065,27.9,0.002,158.0,6.9
43276,4.0,0.22,9.2,2.1,0.0,0.003,0.0,22.5,0.063,33.5,0.003,170.0,8.9
43273,4.0,0.23,10.9,2.2,0.0,0.004,0.0,19.9,0.055,41.9,0.004,176.0,10.2
43270,4.0,0.27,16.4,2.3,0.001,0.006,0.0,17.7,0.046,54.9,0.007,169.0,6.3
43267,3.0,0.35,22.9,2.3,0.003,0.011,0.0,15.5,0.03,75.5,0.015,168.0,4.1
43264,3.0,0.37,28.3,2.5,0.006,0.017,0.0,13.2,0.017,99.8,0.023,163.0,2.0
43258,3.0,0.32,26.1,2.4,0.0,0.014,0.0,10.3,0.012,99.4,0.014,135.0,3.0
43249,4.0,0.33,28.9,2.3,0.0,0.01,0.0,13.1,0.025,99.8,0.01,135.0,3.4
43246,4.0,0.35,32.1,2.2,0.0,0.011,0.0,14.3,0.028,93.4,0.011,172.0,2.3
43243,4.0,0.36,32.5,2.2,0.0,0.011,0.0,15.9,0.035,76.9,0.01,167.0,3.4
43240,5.0,0.36,34.0,2.2,0.0,0.007,0.0,16.7,0.042,72.2,0.007,181.0,5.3
43237,5.0,0.36,38.4,2.2,0.0,0.007,0.0,17.6,0.046,64.1,0.007,175.0,7.5
43234,5.0,0.33,28.5,2.2,0.0,0.006,0.0,18.8,0.053,52.4,0.006,164.0,6.5
43231,5.0,0.3,23.3,2.1,0.0,0.004,0.0,19.9,0.065,42.9,0.004,129.0,11.7
43228,5.0,0.27,19.4,2.1,0.0,0.004,0.0,21.3,0.073,38.4,0.003,110.0,11.6
43225,5.0,0.24,15.9,2.1,0.0,0.003,0.0,22.1,0.073,31.8,0.003,104.0,9.1
43222,5.0,0.24,18.3,2.1,0.0,0.003,0.0,22.3,0.074,33.8,0.003,100.0,11.2
43219,5.0,0.22,12.6,2.1,0.0,0.002,0.0,23.2,0.072,27.1,0.002,77.0,7.1
43216,5.0,0.23,16.7,2.1,0.0,0.003,0.0,22.5,0.073,31.1,0.003,91.0,7.3
43213,5.0,0.25,19.1,2.1,0.0,0.003,0.0,21.9,0.072,34.7,0.003,114.0,8.0
43210,5.0,0.25,28.9,2.1,0.0,0.003,0.0,21.9,0.071,34.7,0.003,104.0,10.4
43207,5.0,0.25,26.0,2.1,0.0,0.004,0.0,21.6,0.069,35.5,0.004,134.0,5.3
43204,5.0,0.32,34.4,2.2,0.003,0.014,0.0,20.5,0.051,42.8,0.017,82.0,4.5
43201,4.0,0.35,33.8,2.3,0.008,0.025,0.0,18.0,0.027,50.5,0.033,289.0,0.4
43198,4.0,0.37,31.5,2.3,0.011,0.025,0.0,15.9,0.017,63.3,0.036,345.0,3.8
43195,4.0,0.37,20.8,2.4,0.012,0.025,0.0,14.6,0.013,69.7,0.037,3.0,3.3
43192,3.0,0.4,20.1,2.5,0.011,0.024,0.0,12.5,0.011,92.2,0.035,341.0,2.4
43189,3.0,0.52,18.5,2.8,0.016,0.027,0.0,9.6,0.004,99.4,0.043,337.0,2.7
43171,4.0,0.41,18.3,2.2,0.0,0.016,0.0,13.0,0.03,80.3,0.016,141.0,1.1
43168,4.0,0.37,18.2,2.2,0.0,0.014,0.0,14.1,0.035,67.8,0.014,130.0,1.9
43165,4.0,0.32,13.7,2.2,0.0,0.011,0.0,16.9,0.049,52.7,0.011,129.0,3.1
43162,4.0,0.26,11.4,2.1,0.0,0.008,0.0,18.8,0.061,44.1,0.008,120.0,4.9
43159,4.0,0.22,11.6,2.1,0.0,0.007,0.0,19.6,0.064,41.0,0.006,136.0,5.5
43156,4.0,0.22,12.3,2.1,0.0,0.004,0.0,19.7,0.064,39.2,0.004,127.0,7.5
43153,4.0,0.23,10.8,2.1,0.0,0.003,0.0,20.0,0.065,38.3,0.003,117.0,10.5
43150,4.0,0.23,11.1,2.1,0.0,0.003,0.0,20.1,0.065,39.4,0.003,111.0,8.0
43147,4.0,0.23,11.5,2.1,0.0,0.004,0.0,20.3,0.065,38.1,0.004,105.0,6.4
43144,4.0,0.24,12.6,2.1,0.0,0.003,0.0,19.9,0.064,40.3,0.003,120.0,6.2
43141,4.0,0.23,15.0,2.1,0.0,0.004,0.0,19.2,0.064,41.6,0.003,119.0,6.2
43138,4.0,0.23,12.5,2.1,0.0,0.003,0.0,18.3,0.061,44.2,0.003,119.0,5.0
43135,3.0,0.24,12.8,2.1,0.001,0.005,0.0,17.6,0.052,46.6,0.006,108.0,5.2
43132,3.0,0.26,10.1,2.1,0.001,0.006,0.0,16.8,0.046,48.2,0.008,350.0,3.9
43129,3.0,0.27,8.0,2.1,0.002,0.008,0.0,15.5,0.041,57.1,0.011,359.0,3.2
43126,2.0,0.27,7.5,2.1,0.002,0.007,0.0,13.6,0.034,68.6,0.009,2.0,3.5
43123,2.0,0.22,7.4,2.1,0.002,0.005,0.0,11.5,0.024,86.4,0.007,332.0,9.8
43120,2.0,0.26,11.4,2.2,0.007,0.012,0.0,9.5,0.014,99.7,0.019,341.0,7.6
43117,2.0,0.29,11.7,2.3,0.02,0.023,0.0,6.4,0.004,99.4,0.043,315.0,1.9
43108,2.0,0.23,7.7,2.3,0.0,0.013,0.0,6.5,0.015,99.5,0.013,0.0,2.6
43105,2.0,0.22,8.8,2.3,0.0,0.011,0.0,6.9,0.017,99.5,0.011,341.0,3.1
43102,2.0,0.2,7.7,2.3,0.0,0.011,0.0,7.2,0.019,99.7,0.011,349.0,1.4
43099,2.0,0.19,6.2,2.2,0.0,0.006,0.0,8.3,0.028,99.8,0.006,352.0,3.8
43096,3.0,0.19,5.6,2.1,0.0,0.004,0.0,9.4,0.036,95.1,0.003,338.0,8.3
43093,3.0,0.19,8.8,2.1,0.0,0.006,0.0,10.1,0.034,89.8,0.006,343.0,9.8
43090,2.0,0.19,8.6,2.1,0.0,0.004,0.0,10.4,0.035,88.0,0.004,346.0,12.7
43087,2.0,0.19,8.1,2.1,0.0,0.004,0.0,10.6,0.034,86.3,0.004,343.0,13.3
43084,3.0,0.18,7.0,2.1,0.0,0.004,0.0,10.6,0.034,86.3,0.004,358.0,16.1
43081,3.0,0.19,7.2,2.1,0.0,0.005,0.0,10.7,0.032,87.9,0.005,354.0,16.1
43078,3.0,0.19,21.0,2.1,0.0,0.005,0.0,10.6,0.033,88.8,0.005,355.0,16.6
43075,2.0,0.18,4.6,2.1,0.0,0.004,0.0,10.6,0.033,87.9,0.004,342.0,17.8
43072,2.0,0.18,4.3,2.1,0.0,0.004,0.0,10.2,0.033,90.9,0.004,343.0,19.8
43069,2.0,0.18,3.4,2.1,0.0,0.004,0.0,10.2,0.033,91.3,0.004,342.0,21.6
43066,2.0,0.17,2.4,2.1,0.0,0.004,0.0,9.9,0.032,94.0,0.004,341.0,22.2
43063,2.0,0.17,1.8,2.1,0.0,0.004,0.0,10.1,0.031,91.5,0.004,341.0,24.8
43060,3.0,0.18,2.1,2.1,0.0,0.004,0.0,10.7,0.027,98.6,0.004,341.0,24.6
43057,3.0,0.23,8.8,2.1,0.0,0.007,0.0,12.0,0.031,99.8,0.007,347.0,22.7
